"Name_book","Pubhouse","Pubhouse_series","Price","Count_photo"
"Гравити Фолз. Полная история. Сезон 1","Эксмо","Disney. Гравити Фолз",800,2
"Культ LEGO. История LEGO в людях и кубиках","Бомбора","Подарочные издания. Компьютер",1400,2
"Игродром. Что нужно знать о видеоиграх и игровой культуре","Бомбора","Российский компьютерный бестселлер",803,2
"World of Warcraft. Клятва на крови","АСТ","Легенды Blizzard. Графический роман",906,1
"W.I.T.C.H. Часть 1. Двенадцать порталов. Том 2","Комильфо","Комильфо. Чародейки",1000,NA
"W.I.T.C.H. Часть 1. Двенадцать порталов. Том 3","Комильфо","Комильфо. Чародейки",1000,NA
"Фехтовальщики. Том первый","Popcorn Books",NA,593,2
"Фехтовальщики. Том второй","Popcorn Books",NA,593,2
"W.I.T.C.H. Часть 1. Двенадцать порталов. Том 1","Комильфо","Комильфо. Чародейки",840,7
"""Росомаха"" Дэниела Уэя. Полное собрание. Том 1","Комильфо","Росомаха",1694,NA
"Мастер на все руки. Международный политический триллер","Белая ворона / Альбус корвус",NA,839,NA
"Мэгг, Могг и Сова. По наклонной","Комильфо","Альтернативные комиксы",912,1
"Minecraft. Продвинутое руководство","Бомбора","Легендарные компьютерные игры",1303,2
"Вечно проё**ваюсь","КомФедерация","Зарубежные комиксы",912,NA
"World of Warcraft. Вол'джин. Тени Орды","АСТ","Легенды Blizzard",531,1
"Сверхъестественное. Холодное пламя","АСТ","Сверхъестественное",425,15
"Последнее путешествие девочек. Том 3","АСТ","Манга. Последнее путешествие девочек",722,1
"Леонардо да Винчи. Темная история","Эксмо","Темная история. Иллюстрированные биографии",885,2
"Бегущий по лезвию — 2019. Том 3","fanzon","Комиксы. Кино",632,15
"Морбиус. Живой вампир. Кровные узы","АСТ","Вселенная Марвел",557,16
"Правила выживания в школе. Первая любовь","Манн, Иванов и Фербер","Правила выживания в школе",1124,7
"Человек-Паук. Вызов. Том 1","Комильфо","Человек-Паук. Избранное",1694,NA
"Убивашка в Голливуде","Комильфо","Альтернативные комиксы",587,NA
"Чёрный Молот. Том 4. Эра Рока. Часть 2","Комильфо","Черный молот (обл)",804,NA
"Убийца Тупиц. Психотерапия","Комильфо","Герои Marvel (обл)",587,NA
"The Boys. Пацаны. Том 6. Общество самосохранения","fanzon","Комиксы. Кино",674,2
"Шельма и Гамбит. Замкнутый круг","Комильфо","Герои Marvel (обл)",587,15
"Растения против зомби. Зомби в универе","АСТ","Plants vs Zombies. Графический роман",557,1
"1984. Графическая адаптация","fanzon","Комиксы. Современная классика",995,29
"Гусар","Белая ворона / Альбус корвус",NA,434,1
"Запретные невесты безликих рабов в потайном доме ночи пугающей страсти","АСТ","Графические романы Нила Геймана",581,2
"История письменности. От клинописи до эмодзи","Пешком в историю","Комиксы",1208,3
"Roblox. Играй, программируй и создавай свои миры","Питер","Программирование для детей",1265,NA
"Алиса в Стране чудес. Сказка в комиксах","Wonder Books","Любимые сказки и истории в комиксах",956,6
"Сага. Делюкс-издание. Том 2","XL Media","Сага",2274,9
"«Страна чудес смертников». Том 13","XL Media","Страна Чудес Смертников",465,NA
"Бездомный бог.  Том 14","XL Media","Бездомный бог",465,4
"Время приключений. Избранное. Том 3","Комильфо","Время приключений",1477,NA
"Человек-Паук. Дэдпул. Гонка вооружений","Комильфо","Дэдпул. Избранное (обложка)",587,5
"Зимний Солдат. Вторые шансы","Комильфо","Герои Marvel (обл)",587,5
"Сабрина, маленькая ведьма","Комильфо","Арчи (обл)",587,5
"Арчи и Сабрина. Том 2","Комильфо","Арчи (обл)",587,5
"Моби Дик","Эксмо","Классика в комиксах",653,2
"Marvel. Странные истории","Комильфо","Marvel. Альтернатива",717,13
"История серии Zelda. Рождение и расцвет легенды","Бомбора","Легендарные компьютерные игры",760,6
"Звездный замок. Принцесса в Париже. Том 5","Манн, Иванов и Фербер","Звездный замок",1521,26
"MARVEL. Что если?.. Звёзды Marvel стали Фантастической Четвёркой","Комильфо","Marvel. Альтернатива",240,3
"Гостья М. Том 2","Фабрика комиксов",NA,614,NA
"Железный миротворец. Том 9","Фабрика комиксов",NA,452,NA
"Краткая история физики","АСТ","Научкомикс",505,5
"Журнал ""Волшебный мир"" №6 Три кота. Юные пираты. Комиксы с заданиями","ИД Комсомольская правда",NA,175,2
"Журнал ""Добрый сказочник"" №1 Сказочный патруль. Новые герои. Комиксы с заданиями","ИД Комсомольская правда",NA,191,2
"Электрический штат","Like Book","Графический бестселлер (Новое оформление)",1563,2
"Нелюдь. Том 11","XL Media","Нелюдь",465,10
"Рыцари «Сидонии». Том 9","XL Media","Рыцари Сидони",414,1
"«Страна чудес смертников». Том 11","XL Media","Страна Чудес Смертников",465,1
"«Страна чудес смертников». Том 12","XL Media","Страна Чудес Смертников",465,1
"Берсерк. Том 3","XL Media","Берсерк",896,4
"Тетрадь дружбы Нацумэ. Том 2","XL Media","Тетрадь дружбы Нацумэ",724,NA
"Sonic. Кризис в городе. Комикс. Том. 5","Эксмо","Sonic. Комиксы",511,6
